id,用户,对局编号,分数,榜单加分,身份(2地主),结果(2败),开始时间
id,uid,play_no,score,rank_score,identity,success,create_time
10182,716022445,3381,0,0,2,1,2021-06-11 23:29:02
10181,725766698,3381,0,0,1,2,2021-06-11 23:29:02
10180,746566008,3381,0,0,1,2,2021-06-11 23:29:02
10179,92712630,3380,521,521,1,1,2021-06-11 23:29:02
10178,754235566,3380,345,172,2,2,2021-06-11 23:29:02
10177,221080759,3380,0,0,1,1,2021-06-11 23:29:02
10176,68527117,3379,0,0,1,2,2021-06-11 23:27:02
10175,537279614,3379,11,5,1,2,2021-06-11 23:27:02
10174,302917522,3379,4227,8454,2,1,2021-06-11 23:27:02
10173,742953360,3378,0,0,1,2,2021-06-11 23:26:02
10172,753724747,3378,8590,17180,2,1,2021-06-11 23:26:02
10171,3267284,3378,521,260,1,2,2021-06-11 23:26:02
10170,737550995,3377,13202,6601,1,2,2021-06-11 23:25:02
10169,14598867,3377,0,0,1,2,2021-06-11 23:25:02
10168,730631826,3377,34024,68048,2,1,2021-06-11 23:25:02
10167,36388406,3376,11,5,1,2,2021-06-11 23:23:02
10166,59292833,3376,208,416,2,1,2021-06-11 23:23:02
10165,548295978,3376,0,0,1,2,2021-06-11 23:23:02
10164,753906112,3375,0,0,1,2,2021-06-11 23:22:03
10163,9505766,3375,0,0,2,1,2021-06-11 23:22:03
10162,737145425,3375,0,0,1,2,2021-06-11 23:22:03
10161,10806740,3374,1448,1448,1,1,2021-06-11 23:19:03
10160,641002861,3374,521,260,2,2,2021-06-11 23:19:03
10159,11878901,3374,375,375,1,1,2021-06-11 23:19:03
10158,743970037,3373,22,22,1,1,2021-06-11 23:18:02
10157,103803344,3373,1314,1314,1,1,2021-06-11 23:18:02
10156,42199964,3373,219,109,2,2,2021-06-11 23:18:02
10155,453039746,3372,0,0,1,2,2021-06-11 23:16:03
10154,732810096,3372,52,26,1,2,2021-06-11 23:16:03
10153,530198248,3372,29995,59990,2,1,2021-06-11 23:16:03
10152,749814978,3371,9316,18632,2,1,2021-06-11 23:16:02
10151,754179683,3371,208,104,1,2,2021-06-11 23:16:02
10150,754196812,3371,52,26,1,2,2021-06-11 23:16:02
10149,752059030,3370,0,0,1,2,2021-06-11 23:14:04
10148,744722639,3370,843,421,1,2,2021-06-11 23:14:04
10147,735363332,3370,2573,5146,2,1,2021-06-11 23:14:04
10146,738998725,3369,63,63,1,1,2021-06-11 23:13:05
