2021-01-22 20:42:00 ip:192.168.18.5,开放端口:[515] 
2021-01-22 20:42:36 ip:192.168.18.16,开放端口:[6379 515] 
2021-01-22 20:42:50 ip:192.168.18.20,开放端口:[5357 5040] 
2021-01-22 20:43:14 ip:192.168.18.26,开放端口:[8681 8682 5040 8680] 
2021-01-22 20:43:24 ip:192.168.18.29,开放端口:[515] 
2021-01-22 20:43:46 ip:192.168.18.36,开放端口:[548 88 445] 
2021-01-22 20:44:03 ip:192.168.18.41,开放端口:[515] 
2021-01-22 20:44:16 ip:192.168.18.45,开放端口:[4446 8090 8080 80 6000] 
2021-01-22 20:44:19 ip:192.168.18.46,开放端口:[5040 7680 5357 8680] 
2021-01-22 20:44:29 ip:192.168.18.49,开放端口:[8680 5826 5357 7680 5040] 
2021-01-22 20:44:38 ip:192.168.18.52,开放端口:[515] 
2021-01-22 20:44:48 ip:192.168.18.55,开放端口:[7680 5357 5040 5021] 
2021-01-22 20:44:51 ip:192.168.18.56,开放端口:[7086 5086 7110 7100] 
